,TST BOCES Tompkins,DeWitt Middle School,Northeast Elementary School,Cayuga Heights Elementary School,Belle Sherman Elementary School,Caroline After School Program,South Hill Elementary School,Beverly J. Martin Elementary School,Fall Creek Elementary School,Boynton Middle School,ICSD Technology,737 Willow Ave,Enfield Elementary School,Lehman Alternative Community School,Tompkins County Recycling
TST BOCES Tompkins,0.0,2.8854111524237775,2.7265296240778807,2.970439397284376,9.06114121461561,33.6980417963031,16.395637571076158,10.90372957847355,9.452458588365388,8.046674576159104,9.403082652333453,8.931463970867483,34.04909138018175,13.583640854881892,12.676503038560881
DeWitt Middle School,3.5259077924237774,0.0,1.2492011357034756,3.291196840046017,16.801095584476165,31.179798858164354,13.853825117016163,8.36641023384207,6.92054686567365,5.516344034191766,6.867027074474813,6.396251146877751,31.519876102484933,11.045425716558437,10.132264562807913
Northeast Elementary School,3.7361248276371426,1.6182959898290399,0.0,3.49711935401941,18.072782168930665,32.44603281446629,15.12741218975821,9.637172621142076,8.187759904005055,6.785054067103315,8.141448597537178,7.665404506798538,32.78715589598294,12.319565924496418,11.407297812109425
Cayuga Heights Elementary School,6.462147873041852,6.142563161417769,5.979574351195755,0.0,7.559743868529654,25.271590844151635,10.357266876521386,6.0595114266488235,5.2077555486742195,7.081457628462542,6.256241395444578,7.961370898300474,30.61998828533154,10.178036484066961,9.266682851679551
Belle Sherman Elementary School,12.75095881461561,18.840123475754968,19.74572376032801,7.762434053997868,0.0,15.759738054440671,5.834975666281971,2.331417601195454,2.821156435943597,5.9024435649588165,3.2973445050986157,4.338795963897794,26.624994723247315,6.153801927592429,5.247095325692365
Caroline After School Program,32.978866429239524,29.823026499522676,30.721009267189576,22.079947120423203,12.362959151100224,0.0,16.81677025174872,13.319156005481558,13.814629509228904,16.87656392600289,14.275438163833666,15.304619583670796,37.61639875433321,17.128654264859037,16.208642393817993
South Hill Elementary School,21.25731633488565,18.077899500061616,18.98518511667308,12.09538821147578,7.739765093102677,22.11855297026465,0.0,1.5785917275300825,2.0645586364382607,5.1460144560504775,2.5435841318269006,3.591256830677491,25.858843705870726,5.405208553716447,4.164183110492849
Beverly J. Martin Elementary School,19.90206328905486,16.728744221009773,17.633079964702056,11.670663404109922,8.434727607418711,22.829504491014198,5.491121341140389,0.0,1.6430136554903902,3.7888077041842485,1.1836985120600492,2.230534067378037,24.516819462936642,4.045011523614087,3.133780384672744
Fall Creek Elementary School,18.76036816787608,15.591726018249968,16.493492472717946,10.956782043613837,9.761452938833003,24.15027625224207,6.817443942945454,1.642709889418958,0.0,1.8159132889131477,1.0663945202709308,1.0874976277984274,26.201854906770865,5.747972249387733,4.8365461483774155
Boynton Middle School,16.588341233610628,13.417137733335418,14.319615489853405,12.136535925660372,12.86262025966335,27.227695233726923,9.921526071872073,4.427499343999714,1.8251958489131477,0.0,2.931930388763044,2.460475184426286,27.570345229300983,7.116097585991559,6.2047831701608125
ICSD Technology,19.174864204659258,16.003125611942046,16.906519734836145,14.727607859590748,10.379831644094953,24.75970581794541,7.438378110425597,1.103960380342481,1.2752521202709308,3.061569593679065,0.0,1.5041108560030372,25.09358237717548,4.633637045406499,3.7222199563600986
737 Willow Ave,18.363448599874648,15.190794532756803,16.09448178345073,13.911590326151584,11.081073095288135,25.438499250993942,8.141865007805027,2.6474503673078904,1.1942470677984274,2.2503473325805183,1.1492052016416525,0.0,25.78585273281638,5.338142590366837,4.426456878588993
Enfield Elementary School,33.157441469805185,29.991343721827544,30.893518105112292,27.114122899597625,22.415783801545214,36.80345753751493,19.46542943601377,14.49850874046559,15.990423659985877,17.047269870807117,14.442354779624207,15.47975337411592,0.0,14.005976742321,15.740806699649939
Lehman Alternative Community School,21.135700673873906,17.956346608646673,18.863634417923887,15.102683737618113,10.37942379843412,24.752761610113915,7.439111641901457,2.46569785039279,3.969097050268595,5.02446732254697,2.4177152188043864,3.4654758668715164,22.443823782320997,0.0,3.7234217642908916
Tompkins County Recycling,21.893914996388,18.713733577118806,19.62144233124829,15.865944368425748,11.14242302981235,25.504873735519293,8.202377741534482,3.2289635616376597,4.732351492908564,5.783038028286811,3.1808905993738756,4.22859660706868,26.49342219182065,6.042514888853848,0.0
